X,Y,T,ageshr19,ageshr60,buyuk,hischshr1520m,i89,lpop1994,merkezi,merkezp,partycount,prov,prov_num,sexr,shhs,subbuyuk,vshr_islam1994
-30.006929,34.751774,0,39.702072,10.600173,0,22.60062,0,8.0330095,1,0,8,Adana,Adana,106.87807,4.4240689,0,3.9154541
-22.618391,18.527792,0,50.670433,4.1606417,0,19.933554,0,9.2349358,1,0,8,Adana,Adana,104.8196,5.3363733,0,10.994591
-31.865639,29.847494,0,40.636353,8.789772,0,24.731182,0,7.7681103,1,0,7,Adana,Adana,103.45847,4.6664405,0,10.031775
-53.416927,13.740458,0,43.418468,6.6516981,0,10.526316,0,7.4383836,0,0,4,Adana,Adana,105.24193,5.8029318,0,1.2539184
-32.88316,29.217392,0,38.121666,6.507781,0,19.787987,0,8.6285553,1,0,8,Adana,Adana,100.10889,4.6621003,0,.55248618
-62.559891,7.9166665,0,43.714287,7.25,0,11.403508,,7.3702307,0,0,3,Adana,Adana,100,4.9822063,0,.54757017
-31.257051,31.444813,0,43.438873,5.770575,0,31.173594,0,10.276292,1,0,9,Adana,Adana,101.30339,4.4354563,0,10.138895
-51.171505,26.086956,0,39.022301,8.8765011,0,34.131737,0,7.0387836,0,0,3,Adana,Adana,112.38615,5.1140351,0,.37488285
-42.188679,26.153847,0,39.845585,7.7542796,0,24.615385,0,7.2751722,0,0,4,Adana,Adana,105.16529,4.7436304,0,.1509434
-16.41534,25.925926,0,39.576191,6.6687441,0,18.035427,0,8.5195904,1,0,8,Adana,Adana,118.34884,4.488112,0,10.124947
-16.001057,31.125828,0,29.144636,15.520996,0,32.484074,,8.3656721,0,0,6,Adana,Adana,106.61954,3.9888337,0,13.594288
1.0800749,37.654324,1,38.957291,8.734129,0,31.497797,0,7.9813914,1,0,6,Adana,Adana,113.12012,5.012536,0,28.640594
-49.389751,14.7651,0,42.294769,6.7210755,0,13.690476,,7.2305632,0,0,5,Adana,Adana,106.23763,8.1050587,0,.081366964
-13.259768,24.669399,0,42.445919,5.9388514,0,23.85568,0,12.857882,1,0,13,Adana,Adana,96.479134,4.2500029,1,9.984334
-13.458446,6.333333,0,55.081768,3.3070867,0,9.7435904,,7.7832241,0,0,5,Adana,Adana,100.85159,5.5928183,0,16.943699
-38.282921,31.518623,0,41.879219,9.2835712,0,26.598465,0,8.1693363,1,0,6,Adana,Adana,100.98002,4.3034706,0,1.6193095
-44.848038,40.163933,0,39.816742,9.2461472,0,37.5,0,7.2861919,0,0,4,Adana,Adana,101.7647,5.0547366,0,.59303188
-48.613377,5.6962023,0,40.801601,8.7775555,0,15.862068,,7.1876574,0,0,3,Adana,Adana,101.86085,5.2526317,0,1.8760195
-29.275364,9.1428566,0,42.261208,6.0038986,0,13.186814,0,7.0570369,0,0,5,Adana,Adana,100.078,6.8766756,0,3.2850244
-41.903873,29.957808,0,38.77766,6.4278183,0,22.340425,0,7.7549105,1,0,8,Adana,Adana,106.0356,4.4263058,0,.27998134
-39.61039,7.2033896,0,55.037712,3.8523707,0,12.5,,8.2656498,0,0,7,Adana,Adana,100.90203,12.339058,0,4.5129871
-6.4047737,18.095812,0,46.305485,4.5415397,0,19.821587,0,11.873107,1,0,13,Adana,Adana,99.967781,4.7815833,1,15.613217
-44.0625,23.809525,0,40.645443,8.7658091,0,19.090908,,7.2232957,0,0,7,Adana,Adana,99.391304,5.3078704,0,.93750006
-36.441799,12.785389,0,43.552834,6.8300152,0,13.903743,,7.3783836,0,0,6,Adana,Adana,98.721848,4.5284328,0,.72751325
-15.833118,23.412699,0,36.173634,2.9742765,0,26.647833,0,8.4250774,0,0,8,Adana,Adana,138.52507,11.356742,0,12.438456
-54.948532,4.961832,0,50.111572,5.3235574,0,14.155251,,7.2991214,0,0,3,Adana,Adana,98.922005,6.57652,0,3.5629456
-22.209097,3.0612245,0,57.9944,4.380043,0,7.4585638,,7.6143122,0,0,6,Adana,Adana,97.047371,7.0946259,0,11.163614
-23.964256,7.1856289,0,36.785328,7.3714495,0,18.543047,,7.1966867,0,0,5,Adana,Adana,114.2527,4.7135592,0,14.947197
-60.076859,18.232044,0,39.233349,6.1793046,0,13.274336,0,7.8747392,0,0,5,Adana,Adana,96.703751,5.6098709,0,.76857388
-25.353018,5.0473189,0,54.55851,5.9105048,0,10.150376,,7.4667993,0,0,5,Adana,Adana,96.936852,6.0653119,0,8.4082155
-26.349821,14.868805,0,35.440556,7.0760412,0,12.820514,,8.115222,0,0,7,Adana,Adana,135.45293,5.8603005,0,1.390236
-44.525108,16.363636,0,45.482746,8.2202406,0,19.653179,,7.5098829,0,0,5,Adana,Adana,104.84512,5.2740288,0,2.9038112
-42.264851,10,0,52.081425,5.0981112,0,10,0,7.5652752,0,0,6,Adana,Adana,103.16692,6.0254145,0,4.0222774
-41.634613,6.0975609,0,47.556614,8.3432655,0,18.902439,,7.0175061,0,0,5,Adiyaman,Adiyaman,114.21276,7.9150944,0,2.596154
13.828546,23.741497,1,50.952179,4.1795025,0,31.901705,0,10.965781,1,1,9,Adiyaman,Adiyaman,102.88409,5.2100501,0,35.444141
-50.068027,10.204082,0,52.639164,5.6566381,0,19.917013,,7.4383836,0,0,3,Adiyaman,Adiyaman,105.5926,7.7527933,0,2.8571429
-36.410702,3.0737705,0,55.49715,4.8401227,0,15.447155,,7.2159748,0,0,4,Adiyaman,Adiyaman,101.94604,10.377273,0,3.3649697
-49.521988,1.3793104,0,56.09882,3.5512094,0,9.9447508,,6.3403592,0,0,3,Adiyaman,Adiyaman,126.45688,10.280423,0,.76481837
-13.656386,4.427083,0,53.37088,4.4227266,0,16.539925,0,7.3658128,0,0,4,Adiyaman,Adiyaman,94.679138,10.936594,0,31.791485
-25.663715,22.864691,0,48.105083,5.8522272,0,25.525087,0,9.1653433,1,0,6,Adiyaman,Adiyaman,104.39653,6.435596,0,8.0260563
-25.479334,24.501425,0,46.458584,8.3033209,0,25.062656,0,7.8958082,0,0,4,Adiyaman,Adiyaman,102.67641,5.9499998,0,18.917768
-12.65378,16.422289,0,45.163216,6.7675157,0,19.689119,1,7.8351836,0,0,7,Adiyaman,Adiyaman,106.66392,7.9872813,0,8.9191561
-61.301773,25.373135,0,46.185856,7.0735087,0,31.117022,0,7.5218592,0,0,2,Adiyaman,Adiyaman,107.88083,7.319797,0,0
6.8918915,15.501165,1,55.209625,5.5634179,0,25.682592,0,8.0910149,1,0,5,Adiyaman,Adiyaman,127.57649,7.2520847,0,29.391891
-8.1188116,4.4303799,0,54.700451,5.8489227,0,12.307693,1,7.4988699,1,0,5,Adiyaman,Adiyaman,114.03953,7.0383334,0,27.458746
-18.416636,21.745712,0,44.332775,6.742044,0,25.718195,0,9.4277878,1,0,4,Adiyaman,Adiyaman,106.17311,5.0962119,0,21.298023
-34.082031,10.034602,0,45.509346,6.6606388,0,26.691729,0,7.0867381,0,0,4,Adiyaman,Adiyaman,99.15966,8.4427481,0,1.5625
-31.366989,11.734694,0,37.64045,11.265523,0,25.471699,0,7.5933743,0,0,4,Adiyaman,Adiyaman,101.78998,5.5625,0,2.0986953
12.069818,11.926807,1,54.395359,4.9844289,0,22.926125,0,9.7626724,1,0,4,Adiyaman,Adiyaman,107.09435,6.3903337,0,51.324993
-13.691128,2.8571429,0,57.710957,3.4675074,0,20.159151,0,6.9027429,0,0,3,Adiyaman,Adiyaman,104.36075,8.3821135,0,25.191677
-13.413015,6.3943162,0,50.701172,4.1058259,0,22.651007,0,7.4558768,1,0,3,Adiyaman,Adiyaman,104.46349,7.5595627,0,42.961487
-37.461536,4.6189375,0,54.759197,5.309063,0,12.436548,,7.2717037,1,0,3,Adiyaman,Adiyaman,107.31132,9.4856119,0,19.846153
-16.00325,1.2295082,0,56.246037,5.4216871,0,3.4188037,,7.2269359,0,0,3,Adiyaman,Adiyaman,101.27633,7.3864169,0,31.275385
-37.936192,18.661972,0,43.698875,7.2785249,0,23.245615,0,7.7454357,1,0,7,Adiyaman,Adiyaman,110.78317,6.623508,0,1.7946161
-52.582951,2.003643,0,49.400055,6.3676028,0,7.7253222,0,7.8838234,0,0,5,Afyonkarahisar,Afyonkarahisar,98.37706,6.8606176,0,1.2599747
-2.0435362,6.8376074,0,46.235882,7.1099958,0,10.526316,0,7.8184304,0,0,6,Afyonkarahisar,Afyonkarahisar,94.627594,5.2148309,0,24.744558
-36.392914,.44843051,0,48.240887,7.0047541,0,6.282722,0,7.2247534,0,0,5,Afyonkarahisar,Afyonkarahisar,100.44473,6.698514,0,13.285025
-47.429077,2.1582735,0,42.445114,9.0400343,0,8.4615383,,7.1041441,0,0,5,Afyonkarahisar,Afyonkarahisar,100.95155,7.7433333,0,2.5709219
-34.125874,2.3026316,0,50.408775,5.7427716,0,16.494844,0,7.3388882,0,0,5,Afyonkarahisar,Afyonkarahisar,111.96111,5.8381839,0,15.244755
-43.267258,.80645156,0,47.265076,9.9579248,0,5.3097343,0,7.410347,0,0,4,Afyonkarahisar,Afyonkarahisar,101.86863,5.2272725,0,27.272728
2.1244316,9.3922653,1,41.348869,8.0861588,0,11.797753,,7.2957349,0,0,5,Afyonkarahisar,Afyonkarahisar,100.99361,4.8327646,0,39.15023
-17.247099,7.8740158,0,33.913452,17.215427,0,16.831682,0,7.2384968,0,0,5,Afyonkarahisar,Afyonkarahisar,99.624413,4.6828194,0,32.006634
-13.827162,2.3529413,0,44.46944,8.96138,0,10.92437,,7.2137685,0,0,5,Afyonkarahisar,Afyonkarahisar,91.732567,6.8035712,0,22.222223
3.4624875,1.183432,1,42.596809,9.0356874,0,3.3112581,,7.1884127,0,0,6,Afyonkarahisar,Afyonkarahisar,101.37615,5.2158418,0,37.675182
-20.931929,27.936766,0,38.244267,7.3282704,0,28.273907,0,10.985106,1,1,11,Afyonkarahisar,Afyonkarahisar,103.04932,4.0505548,0,16.905598
-42.586987,4.7058825,0,45.033783,9.7972975,0,4.166667,0,7.2806973,0,0,6,Afyonkarahisar,Afyonkarahisar,101.49761,5.9318638,0,5.6732221
-60.165184,1.4981273,0,43.767525,7.0609226,0,12.549021,1,7.4465852,0,0,5,Afyonkarahisar,Afyonkarahisar,106.69125,6.6043773,0,.82592124
-19.15064,0,0,42.428284,8.2721815,0,2.6455026,0,7.2363396,0,0,5,Afyonkarahisar,Afyonkarahisar,103.94558,5.2781692,0,15.384616
-22.939867,20.625,0,38.868988,11.757933,0,18.838028,0,8.2677059,1,0,7,Afyonkarahisar,Afyonkarahisar,103.48867,4.5600934,0,2.9510024
-50.122749,14.503818,0,36.856659,15.759252,0,27.306274,0,7.9069157,1,0,4,Afyonkarahisar,Afyonkarahisar,93.816986,3.9679325,0,4.1734858
-55.020409,16.2465,0,42.987068,7.3160872,0,24.0625,0,7.2534704,0,0,3,Afyonkarahisar,Afyonkarahisar,97.13147,7.1502891,0,3.3469386
-53.381012,14.285715,0,40.524315,9.2855711,0,30.000002,0,7.4656553,0,0,3,Afyonkarahisar,Afyonkarahisar,99.242424,6.1767616,0,3.2509751
-44.210526,10.460251,0,40.333607,7.7659287,0,17.431192,0,7.0715733,0,0,4,Afyonkarahisar,Afyonkarahisar,101.26582,6.8227611,0,1.0526316
.050911307,22.965042,1,44.432995,6.5594106,0,25.148741,0,9.6279316,1,0,5,Afyonkarahisar,Afyonkarahisar,110.06254,5.5695152,0,32.482361
-26.573723,13.111888,0,47.28159,7.0866146,0,19.799999,1,7.846981,0,0,4,Afyonkarahisar,Afyonkarahisar,96.77816,6.7348485,0,18.588932
-33.684208,4.5454545,0,44.233105,8.0129509,0,5.8823528,0,7.1082439,0,0,5,Afyonkarahisar,Afyonkarahisar,97.996796,6.1774998,0,10.438597
-50.434101,2.0618556,0,43.930634,6.1883712,0,10.059172,0,7.2181768,0,0,5,Afyonkarahisar,Afyonkarahisar,91.098114,7.0358853,0,.63141274
-49.151745,10.729614,0,42.703091,7.1459384,0,18.142548,0,7.7445698,0,0,4,Afyonkarahisar,Afyonkarahisar,103.71997,7.0040283,0,1.2723845
-56.594944,21.73913,0,46.223225,5.7121382,0,28,0,7.04316,0,0,5,Afyonkarahisar,Afyonkarahisar,105.95975,7.6246419,0,.46772686
-50.943394,14.492753,0,37.109657,12.708788,0,12.676056,,6.6846118,0,0,4,Afyonkarahisar,Afyonkarahisar,108.32072,4.7979093,0,.80862528
-27.261322,23.211447,0,38.049294,8.8493137,0,17.633928,0,8.9728441,1,0,7,Afyonkarahisar,Afyonkarahisar,98.175262,4.2218342,0,6.8153305
-34.011974,30.000002,0,31.824818,15.231143,0,31.578945,0,6.8752322,0,0,6,Afyonkarahisar,Afyonkarahisar,99.902725,4.951807,0,.59880245
-50.546021,8.0645161,0,43.819569,6.9712944,0,13.68421,,6.5736804,0,0,4,Afyonkarahisar,Afyonkarahisar,90.726257,5.0058651,0,1.8720748
-4.704,4.5840406,0,48.129887,6.5664463,0,14.285715,0,8.1562233,1,0,4,Afyonkarahisar,Afyonkarahisar,99.161682,6.1049929,0,24.768
-27.623125,31.621624,0,35.804729,8.4668188,0,28.219696,0,7.8200378,1,0,7,Afyonkarahisar,Afyonkarahisar,118.71872,5.0229883,0,2.4411135
-24.372091,15.57377,0,37.40554,10.789253,0,22.131147,,7.0148144,0,0,4,Afyonkarahisar,Afyonkarahisar,98.169716,4.0236487,0,19.906977
-48.50872,12.099644,0,49.698608,6.2000246,0,21.401516,0,7.5663109,0,0,5,Afyonkarahisar,Afyonkarahisar,101.16308,8.3717813,0,.50647157
-55.542313,29.763779,0,49.688625,5.5391674,0,31.377899,0,6.8200164,0,0,5,Afyonkarahisar,Afyonkarahisar,112.36659,7.1396255,0,.95351607
-36.311569,13.829787,0,41.843475,7.8956523,0,24.064171,0,6.8416157,0,0,5,Afyonkarahisar,Afyonkarahisar,97.187927,5.3838949,0,.8018328
-48.479729,33.678757,0,44.68367,8.5458765,0,42.384106,0,6.4645882,0,0,5,Afyonkarahisar,Afyonkarahisar,101.26667,9.8019476,0,.67567569
-29.942019,25.491014,0,39.445011,8.7398376,0,28.517965,0,9.5726891,1,0,7,Afyonkarahisar,Afyonkarahisar,105.39224,4.7320333,0,10.660997
-23.139534,12.863071,0,47.521049,5.5191765,0,20.161291,,6.8752322,0,0,5,Afyonkarahisar,Afyonkarahisar,101.06583,6.2759295,0,16.27907
-62.103504,15.74074,0,39.762611,11.216618,0,24.475523,,6.4583383,0,0,4,Afyonkarahisar,Afyonkarahisar,113.02149,5.0753012,0,4.5075126
-53.056232,5.5555558,0,35.54084,11.994113,0,16.666668,0,6.7912216,0,0,4,Afyonkarahisar,Afyonkarahisar,96.103897,5.01476,0,.73349637
-22.325796,23.32815,0,36.215134,8.2163057,0,20.496477,0,9.1587315,1,0,5,Afyonkarahisar,Afyonkarahisar,121.87601,4.4236412,0,9.6247959
16.554058,8.0882359,1,40.956341,11.694386,0,32.520325,0,7.181592,0,0,3,Afyonkarahisar,Afyonkarahisar,91.824524,4.7980051,0,55.405407
-43.710022,12.42236,0,42.1423,6.4112587,0,26.666668,0,6.9314718,0,0,5,Afyonkarahisar,Afyonkarahisar,101.57604,4.7370372,0,.10660981
-40.52953,32.867134,0,42.129845,8.8743572,0,21.551723,,6.9382844,0,0,5,Afyonkarahisar,Afyonkarahisar,96.964119,4.3872952,0,.203666
-38.191883,26.262627,0,37.261395,9.7584734,0,27.414331,0,7.7566233,1,0,6,Afyonkarahisar,Afyonkarahisar,99.533615,4.7230911,0,3.5055351
-51.683502,1.7964072,0,40.917431,10.899082,0,6.3694267,0,7.2334552,0,0,4,Afyonkarahisar,Afyonkarahisar,97.178001,5.2810078,0,1.9360268
-1.8897638,22.08589,0,39.644749,10.695389,0,24.503311,0,7.2689199,1,0,6,Afyonkarahisar,Afyonkarahisar,98.499626,4.8909426,0,17.795275
-21.289063,8.965518,0,34.64912,14.074961,0,8.5526314,,7.0085053,0,0,5,Afyonkarahisar,Afyonkarahisar,87.724548,5.4051723,0,8.3984375
-38.108616,22.568092,0,40.8867,6.8965516,0,21.348314,0,7.0483866,1,0,6,Afyonkarahisar,Afyonkarahisar,113.37793,5.6891718,0,7.5842695
-.53608418,2.8662422,0,46.928261,9.4332142,0,13.725491,0,7.8663387,0,0,5,Afyonkarahisar,Afyonkarahisar,98.505112,6.0868516,0,25.113401
-6.5446854,2.8248587,0,43.812855,12.024487,0,3.4782608,1,7.3466554,0,0,4,Afyonkarahisar,Afyonkarahisar,93.649445,5.4066195,0,34.412388
-29.136028,5.5944057,0,35.978359,11.496844,0,24.590164,1,7.0732698,0,0,6,Afyonkarahisar,Afyonkarahisar,106.32558,5.490099,0,.36764705
-8.782937,.86956519,0,47.151722,8.9678507,0,12.631578,,6.8297939,0,0,4,Afyonkarahisar,Afyonkarahisar,98.544235,5.7752442,0,22.208281
-40.105541,3.3557045,0,44.127598,7.8782024,0,21.259842,,6.7719355,0,0,5,Afyonkarahisar,Afyonkarahisar,105.87065,6.568254,0,1.3192612
-8.7380857,11.609907,0,47.495731,7.0195408,0,16.26409,0,8.4786606,1,0,6,Afyonkarahisar,Afyonkarahisar,96.239761,5.2033563,0,27.644121
-49.703262,22.794117,0,31.416277,16.118937,0,24.358974,0,7.2834482,1,0,5,Afyonkarahisar,Afyonkarahisar,93.63636,3.781065,0,.29673591
-48.737862,.69444448,0,37.180542,9.9752684,0,10.810811,0,7.0414119,0,0,6,Afyonkarahisar,Afyonkarahisar,98.852463,5.7899761,0,.48543689
-54.899132,1.1494253,0,34.436089,15.789473,0,10.465117,,6.6644092,0,0,5,Afyonkarahisar,Afyonkarahisar,93.313957,4.3322477,0,1.4409221
-5.0125303,5.0505052,0,38.214088,15.418747,0,11.904762,,6.767343,0,0,4,Afyonkarahisar,Afyonkarahisar,99.667778,5.0646067,0,47.243107
-50.735294,17.532467,0,35.988323,11.718098,0,27.210886,0,6.7934661,0,0,4,Afyonkarahisar,Afyonkarahisar,97.366257,5.6159248,0,3.3088236
-53.575619,14.204545,0,39.243027,8.804781,0,18.787878,,6.8330317,0,0,6,Afyonkarahisar,Afyonkarahisar,105.56921,6.8767123,0,.46893317
-37.295082,8.3969469,0,34.789734,12.616056,0,15.094339,0,6.3818159,0,0,6,Afyonkarahisar,Afyonkarahisar,102.09713,5.1723166,0,2.6639345
-40.051903,1.6949153,0,45.392902,9.9321899,0,12.048193,0,7.2520537,0,0,6,Afyonkarahisar,Afyonkarahisar,94.491852,5.8849764,0,.69204152
-37.29604,20.481928,0,29.298943,14.947089,0,25,0,6.8469429,0,0,4,Afyonkarahisar,Afyonkarahisar,93.846153,4.4210525,0,2.4475524
-10.984781,29.497984,0,34.811131,9.6841602,0,29.041592,0,9.4538355,1,0,7,Afyonkarahisar,Afyonkarahisar,97.688644,4.3487864,0,29.036209
3.0940592,12.138728,1,41.736507,10.023466,0,32.022472,0,6.7821922,0,0,4,Afyonkarahisar,Afyonkarahisar,105.44077,6.2668066,0,37.871284
-36.507935,11.864407,0,27.12014,23.763252,0,18.181818,0,6.6821084,0,0,6,Afyonkarahisar,Afyonkarahisar,94.501717,3.4199395,0,2.3088024
-15.850672,10.546875,0,36.436382,13.016805,0,18.218622,0,7.5169773,0,0,6,Afyonkarahisar,Afyonkarahisar,97.732071,5.6975684,0,19.339046
-35.928146,1.7857144,0,39.17485,10.137525,0,12.087913,,7.0003343,0,0,5,Afyonkarahisar,Afyonkarahisar,103.92628,7.0891366,0,.6986028
-41.549294,6.8273091,0,38.813763,10.960854,0,17.410715,0,7.3575563,0,0,4,Afyonkarahisar,Afyonkarahisar,102.06137,6.3004484,0,8.3802814
-27.932961,3.6649215,0,44.178574,8.2142859,0,12.903225,0,7.1284962,0,0,5,Afyonkarahisar,Afyonkarahisar,102.0202,6.5727701,0,7.0763497
-15.141958,9.6153851,0,36.271187,11.224105,0,15.131579,0,6.9265771,0,0,4,Afyonkarahisar,Afyonkarahisar,107.25996,7.2343326,0,25.55205
-35.105068,20.212767,0,38.036388,10.212839,0,21,0,7.9262414,1,0,6,Afyonkarahisar,Afyonkarahisar,97.09066,5.1330395,0,2.0601566
-45.56609,12.566845,0,42.021107,8.3146791,0,21.204819,0,7.6108527,0,0,6,Afyonkarahisar,Afyonkarahisar,107.36075,6.9104972,0,4.2944784
-12.347825,2.9411764,0,45.78083,11.149294,0,8.3916082,,7.1701198,0,0,5,Afyonkarahisar,Afyonkarahisar,93.284134,5.6081371,0,15.826087
-51.360172,13.69863,0,37.082188,13.370035,0,16.049381,0,6.8997231,0,0,4,Afyonkarahisar,Afyonkarahisar,108.78489,6.1573849,0,.43525571
-41.849636,4.9327354,0,41.471184,8.3405733,0,15.897436,1,7.36518,0,0,4,Afyonkarahisar,Afyonkarahisar,102.04798,6.8784862,0,5.7884231
-49.395649,3.2432432,0,43.082191,7.7739725,0,12.962963,0,7.2247534,0,0,5,Afyonkarahisar,Afyonkarahisar,111.74765,7.0361447,0,1.1281224
-50.696957,3.0075188,0,40.334248,10.351708,0,21.120689,0,7.6787891,0,0,4,Afyonkarahisar,Afyonkarahisar,95.656418,4.9987531,0,1.9101703
-14.954129,5.147059,0,47.402924,8.1190119,0,10.572687,0,7.0925736,0,0,5,Afyonkarahisar,Afyonkarahisar,103.17622,9.3537731,0,20.458715
-36.399681,5.3571429,0,42.777111,10.044018,0,13.855421,,7.2232957,0,0,5,Afyonkarahisar,Afyonkarahisar,103.66749,7.5727272,0,1.5860429
-49.624496,18.947369,0,38.885597,13.159455,0,21.755726,0,7.5506611,0,0,5,Afyonkarahisar,Afyonkarahisar,106.31879,6.2404437,0,.86655116
-50.943398,15.737052,0,45.52058,6.4610682,0,15.02783,0,7.7164607,0,0,2,Afyonkarahisar,Afyonkarahisar,113.11787,7.3888888,0,0
-52.29324,20.615034,0,40.036686,9.9926634,0,18.991417,0,8.7297201,1,0,5,Afyonkarahisar,Afyonkarahisar,103.31145,4.4110031,0,6.4824848
-57.287746,30.021143,0,36.196144,10.314812,0,26.122448,0,8.238801,1,0,5,Afyonkarahisar,Afyonkarahisar,100.43617,4.0908012,0,3.7380469
-59.744991,7.1428576,0,29.990629,17.244612,0,28.260868,0,6.4118185,0,0,4,Afyonkarahisar,Afyonkarahisar,89.184395,4.5021095,0,1.4571949
-42.547928,26.174498,0,29.31329,16.364878,0,26.119402,0,7.4792995,0,0,5,Afyonkarahisar,Afyonkarahisar,91.432312,3.5521846,0,.803958
-29.641485,22.222223,0,30.226274,16.109423,0,16.959064,0,7.4843688,0,0,6,Afyonkarahisar,Afyonkarahisar,95.703903,3.7292192,0,.51216388
-55.137337,20.869564,0,33.796047,13.614522,0,14.772727,,6.9555926,0,0,4,Afyonkarahisar,Afyonkarahisar,95.715782,4.0193133,0,2.8484232
-37.632774,13.709678,0,26.982201,21.399677,0,28.57143,0,7.2997975,0,0,5,Afyonkarahisar,Afyonkarahisar,95.106544,3.2828686,0,1.5933232
-46.313961,9.5238094,0,34.536892,14.233385,0,29.565218,0,7.1444073,0,0,5,Afyonkarahisar,Afyonkarahisar,92.253525,3.6400001,0,.78057241
9.5963163,13.73916,1,51.899357,3.8124967,0,22.921095,0,10.137056,1,1,7,Agri,Agri,115.47356,6.3800993,0,31.050182
-41.596638,4.4897957,0,61.426426,3.8963962,0,13.76721,0,8.2403851,1,0,6,Agri,Agri,104.92308,6.8766131,0,5.7773108
-35.691593,6.551476,0,54.144077,3.5726347,0,12.771687,0,9.4872141,1,0,6,Agri,Agri,116.2637,6.6691561,0,2.8592377
16.735252,6.3106799,1,50.982571,6.5257692,0,20.346319,,6.7522702,0,0,5,Agri,Agri,100.22272,7.8173914,0,46.639233
-25.896622,8.8942308,0,52.278507,3.8855207,0,19.845112,0,8.4200211,1,0,4,Agri,Agri,159.3676,9.8516378,0,24.630802
-6.5510602,8.333334,0,56.196636,3.8292367,0,20.942408,0,7.0783415,1,0,5,Agri,Agri,115.80122,8.6272326,0,31.021196
-2.7462692,5.0856533,0,60.446339,3.0224562,0,14.696403,0,9.2512903,1,0,5,Agri,Agri,126.02662,10.194295,0,28.107462
-21.371185,11.267606,0,49.343632,5.4440155,0,26.495728,0,7.7604671,1,0,3,Agri,Agri,115.02699,6.1666665,0,29.673273
-56.868847,8.90411,0,54.614132,5.4214191,0,20.554649,0,7.7292957,1,0,5,Agri,Agri,138.21454,7.9893489,0,1.8662519
-27.397263,2.7149322,0,47.850544,6.307754,0,10.344828,,6.7298241,0,0,4,Aksaray,Aksaray,100.56406,5.8290401,0,18.082191
-28.130901,19.160105,0,43.04636,6.8432674,0,26.243093,0,7.4933171,1,0,4,Aksaray,Aksaray,99.001602,5.6753988,0,18.565134
-7.9514832,10.683761,0,48.667603,7.6437583,0,20.100502,0,7.4211774,0,0,2,Aksaray,Aksaray,96.013748,4.9513888,0,46.024261
12.636364,1.826484,1,53.756203,4.9255848,0,13.989637,0,7.1212525,0,0,5,Aksaray,Aksaray,101.71551,6.370203,0,42.454548
-6.2135935,16.379311,0,38.984879,5.7775378,0,21,1,7.4759059,0,0,3,Aksaray,Aksaray,148.92473,6.5441694,0,34.563107
-63.455658,1.9900497,0,50.913471,5.3402929,0,10.606061,0,7.6806374,0,0,2,Aksaray,Aksaray,103.63859,5.4977927,0,0
-20.926386,12.21374,0,45.164074,6.908463,0,15.254237,0,7.2363396,0,0,6,Aksaray,Aksaray,99.425949,4.8587413,0,9.263854
-38.674034,10.358566,0,42.744984,8.0546665,0,23.970037,0,7.597898,0,0,5,Aksaray,Aksaray,111.50062,5.760469,0,.93922651
1.2854874,21.247038,1,44.221966,6.1978159,0,24.236103,0,10.79329,1,1,10,Aksaray,Aksaray,99.219673,4.3548594,0,22.828072
9.509203,18.439716,1,44.630989,4.7918854,0,25.944584,,6.5722823,0,0,3,Aksaray,Aksaray,147.53247,8.408824,0,42.484661
