state,year,dopen,population,presdemvoteshlag1,demmv,demvoteshlag1,demvoteshlag2,demvoteshfor1,demvoteshfor2,demwinprv1,demwinprv2,dmidterm,dpresdem
Connecticut,1986,0,3223740,38.835964,29.915768,46.067585,56.341518,49.764439,58.812016,0,1,1,0
Connecticut,1988,0,3271953,38.835964,.72604716,64.763397,46.067585,58.812016,67.043266,1,0,0,0
Connecticut,1992,0,3274997,46.874748,20.693081,49.764439,64.763397,67.043266,65.146088,1,1,0,0
Connecticut,1994,0,3268346,42.213978,36.03056,58.812016,49.764439,65.146088,63.214111,1,1,1,0
Connecticut,1998,0,3272563,52.831585,32.777927,67.043266,58.812016,63.214111,65.360603,1,1,1,0
Connecticut,2000,0,3405650,52.831585,29.042652,65.146088,67.043266,65.360603,39.729641,1,1,0,0
Connecticut,2004,0,3496094,55.909626,33.712173,63.214111,65.146088,39.729641,55.158417,1,1,0,0
Connecticut,2006,0,3517460,54.313705,-10.917887,65.360603,63.214111,55.158417,,1,1,1,0
Connecticut,2010,1,3574097,60.588829,11.941481,39.729641,65.360603,,,0,1,1,0
Maine,1916,0,775000,39.426571,-6.8523526,,,44.432255,42.495945,,,0,1
Maine,1918,0,760000,46.974632,-11.135491,45.981895,,42.495945,39.570938,0,,1,1
Maine,1922,0,778000,33.291225,-15.008113,44.432255,45.981895,39.570938,30.358973,0,0,1,0
Maine,1928,0,797000,21.834415,-39.282055,39.570938,42.495945,39.05526,49.709076,0,0,0,0
Maine,1930,1,800000,30.964613,-21.889481,30.358973,39.570938,49.709076,49.253906,0,0,1,0
Maine,1934,0,829000,43.193027,-.43046474,39.05526,30.358973,49.253906,41.273411,0,0,1,1
Maine,1936,0,840000,43.193027,-1.4921904,49.709076,39.05526,41.273411,33.33094,0,0,0,1
Maine,1940,1,849000,41.576603,-17.334133,49.253906,49.709076,33.33094,36.453655,0,0,0,1
Maine,1942,0,839000,48.771351,-33.33812,41.273411,49.253906,36.453655,28.699789,0,0,1,1
Maine,1946,0,832000,47.446354,-27.092691,33.33094,41.273411,28.699789,37.258305,0,0,1,1
Maine,1948,1,878000,47.446354,-42.600422,36.453655,33.33094,37.258305,41.392105,0,0,0,1
Maine,1952,1,915000,42.386963,-25.483395,28.699789,36.453655,41.392105,60.781956,0,0,0,1
Maine,1954,0,927000,33.832539,-17.215788,37.258305,28.699789,60.781956,38.351185,0,0,1,0
Maine,1958,0,944000,29.134563,21.563911,41.392105,37.258305,38.351185,66.616829,0,0,1,0
Maine,1960,0,969000,29.134563,-23.297632,60.781956,41.392105,66.616829,41.053513,1,0,0,0
Maine,1964,0,993000,42.952389,33.233654,38.351185,60.781956,41.053513,61.740875,0,1,0,1
Maine,1966,0,999000,68.842018,-17.892977,66.616829,38.351185,61.740875,53.231586,1,0,1,1
Maine,1970,0,993722,55.304684,23.48175,41.053513,66.616829,53.231586,60.203255,0,1,1,0
Maine,1972,0,1034292,55.304684,6.4631729,61.740875,41.053513,60.203255,33.938301,1,0,0,0
Maine,1978,0,1113566,48.094074,-22.647476,60.203255,53.231586,60.867928,25.865877,1,1,1,1
Maine,1984,0,1155635,42.250355,-47.476452,60.867928,33.938301,81.295517,38.640259,1,0,0,0
Maine,1988,0,1203840,38.78104,62.595875,25.865877,60.867928,38.640259,36.355286,0,1,0,0
Maine,1990,0,1231296,43.883537,-22.700262,81.295517,25.865877,36.355286,43.875427,1,0,1,0
Maine,1994,1,1237687,38.7668,-23.880028,38.640259,81.295517,43.875427,31.058702,0,1,1,0
Maine,1996,1,1241436,38.7668,-5.3060679,36.355286,38.640259,31.058702,41.56435,0,0,0,0
Maine,2000,0,1274779,51.623959,-37.882599,43.875427,36.355286,41.56435,20.586014,0,0,0,0
Maine,2002,0,1295960,49.086018,-16.871298,31.058702,43.875427,20.586014,38.583435,0,0,1,0
Maine,2006,0,1323619,53.572857,-53.423553,41.56435,31.058702,38.583435,,0,0,1,0
Maine,2008,0,1330509,53.572857,-22.747543,20.586014,41.56435,,,0,0,0,0
Massachusetts,1916,0,3726000,35.53035,-6.3711939,,,49.654655,46.747425,,,0,1
Massachusetts,1918,0,3695000,46.610519,4.5928836,45.307243,,46.747425,48.609619,0,,1,1
Massachusetts,1924,0,4102000,27.84407,-1.6500294,46.747425,49.654655,53.644604,54.011559,0,1,0,0
Massachusetts,1928,0,4217000,24.854977,8.163661,48.609619,46.747425,54.011559,59.388329,0,0,0,0
Massachusetts,1930,1,4250000,50.243782,9.3379946,53.644604,48.609619,59.388329,41.020775,1,0,1,0
Massachusetts,1934,0,4305000,50.638622,22.012463,54.011559,53.644604,41.020775,55.63559,1,1,1,1
Massachusetts,1936,1,4355000,50.638622,-7.508719,59.388329,54.011559,55.63559,46.606186,1,1,0,1
Massachusetts,1940,0,4318000,51.224625,12.810659,41.020775,59.388329,46.606186,39.721718,0,1,0,1
Massachusetts,1946,0,4494000,52.803307,-19.826927,46.606186,55.63559,46.424698,51.346008,0,1,1,1
Massachusetts,1948,0,4674000,52.803307,-6.5218925,39.721718,46.606186,51.346008,49.024887,0,0,0,1
Massachusetts,1952,0,4650000,54.661018,2.9967933,46.424698,39.721718,49.024887,73.195274,0,0,0,1
Massachusetts,1954,0,4910000,45.461353,-1.516661,51.346008,46.424698,73.195274,43.457664,1,0,1,0
Massachusetts,1960,0,5149000,40.374176,-12.731796,73.195274,49.024887,74.259781,38.739037,1,0,0,0
Massachusetts,1964,0,5448000,60.222157,48.84214,43.457664,73.195274,38.739037,62.143604,0,1,0,1
Massachusetts,1966,1,5535000,76.1866,-21.936161,74.259781,43.457664,62.143604,34.727562,1,0,1,1
Massachusetts,1970,0,5689170,63.00919,25.153763,38.739037,74.259781,34.727562,69.308723,0,1,1,0
Massachusetts,1972,0,5760302,63.00919,-28.795755,62.143604,38.739037,69.308723,55.057812,1,0,0,0
Massachusetts,1976,0,5743672,54.195698,40.301617,34.727562,62.143604,55.057812,60.811089,0,1,0,0
Massachusetts,1978,0,5736469,56.11158,10.207936,69.308723,34.727562,60.811089,55.054295,1,0,1,1
Massachusetts,1982,0,5771222,41.746338,22.551838,55.057812,69.308723,55.054295,64.973053,1,1,1,0
Massachusetts,1984,1,5840773,41.746338,10.124713,60.811089,55.057812,64.973053,57.063515,1,1,0,0
Massachusetts,1988,0,5979982,48.432457,31.044022,55.054295,60.811089,57.063515,58.074856,1,1,0,0
Massachusetts,1990,0,6018664,53.22897,14.195374,64.973053,55.054295,58.074856,52.206749,1,1,1,0
Massachusetts,1994,0,6031352,47.541626,17.064774,57.063515,64.973053,52.206749,72.689064,1,1,1,0
Massachusetts,1996,0,6085393,47.541626,7.4928226,58.074856,57.063515,72.689064,80.028381,1,1,0,0
Massachusetts,2000,0,6349364,61.474197,58.240257,52.206749,58.074856,80.028381,69.302467,1,1,0,0
Massachusetts,2002,0,6417206,59.803795,60.05677,72.689064,52.206749,69.302467,65.858765,1,1,1,0
Massachusetts,2008,0,6468967,61.935432,34.931324,69.302467,80.028381,,,1,1,0,0
New Hampshire,1918,1,440000,49.12204,-7.1211934,44.62516,,41.632523,40.2435,0,,1,1
New Hampshire,1920,0,444000,49.12204,-16.092232,46.439404,44.62516,40.2435,37.680603,0,0,0,1
New Hampshire,1924,0,457000,39.387276,-19.512999,41.632523,46.439404,37.680603,41.897251,0,0,0,0
New Hampshire,1926,0,463000,34.715878,-24.638796,40.2435,41.632523,41.897251,50.345604,0,0,1,0
New Hampshire,1930,0,466000,41.022682,-15.97952,37.680603,40.2435,50.345604,47.665386,0,0,1,0
New Hampshire,1932,0,474000,41.022682,1.0791302,41.897251,37.680603,47.665386,45.7659,0,0,0,0
New Hampshire,1936,1,481000,48.987934,-4.1939945,50.345604,41.897251,45.7659,45.394653,1,0,0,1
New Hampshire,1938,0,485000,49.726288,-8.4681988,47.665386,50.345604,45.394653,49.069138,0,1,1,1
New Hampshire,1942,0,481000,53.220852,-9.2106934,45.7659,47.665386,49.069138,41.166813,0,0,1,1
New Hampshire,1944,0,456000,53.220852,-1.8617243,45.394653,45.7659,41.166813,38.028996,0,0,0,1
New Hampshire,1948,0,520000,52.112358,-16.976374,49.069138,45.394653,38.028996,39.779781,0,0,0,1
New Hampshire,1954,0,554000,39.077854,-20.440435,38.028996,41.166813,35.928364,39.654316,0,0,1,0
New Hampshire,1956,0,566000,39.077854,-28.143272,39.779781,38.028996,39.654316,40.29063,0,0,0,0
New Hampshire,1962,0,632000,46.582207,-19.418739,39.654316,35.928364,54.027603,40.703999,0,0,1,1
New Hampshire,1966,1,681000,63.638176,8.1319628,40.29063,39.654316,40.703999,56.880753,0,0,1,1
New Hampshire,1972,0,781107,43.925289,13.763666,40.703999,54.027603,49.655754,48.50462,0,1,0,0
New Hampshire,1978,0,891520,43.472691,-2.1988094,49.655754,56.880753,47.847012,40.958519,1,1,1,1
New Hampshire,1980,1,920610,43.472691,-4.2937131,48.50462,49.655754,40.958519,32.371349,0,1,0,1
New Hampshire,1984,0,976864,28.350739,-17.788744,47.847012,48.50462,32.371349,31.394941,0,0,0,0
New Hampshire,1986,0,1025053,30.945169,-30.589857,40.958519,47.847012,31.394941,45.32692,0,0,1,0
New Hampshire,1990,1,1111831,36.334499,-33.868736,32.371349,40.958519,45.32692,46.222095,0,0,1,0
New Hampshire,1992,1,1112766,36.334499,-2.8180063,31.394941,32.371349,46.222095,28.220766,0,0,0,0
New Hampshire,1996,0,1160768,38.859135,-3.0300884,45.32692,31.394941,28.220766,46.401646,0,0,0,0
New Hampshire,1998,0,1185823,49.324184,-39.559181,46.222095,45.32692,46.401646,33.716896,0,0,1,0
New Hampshire,2002,1,1269089,46.803181,-4.4172316,28.220766,46.222095,33.716896,51.589626,0,0,1,0
New Hampshire,2004,0,1290121,46.803181,-32.461201,46.401646,28.220766,51.589626,36.81102,0,0,0,0
New Hampshire,2008,0,1315906,50.242275,6.3379169,33.716896,46.401646,36.81102,,0,0,0,0
New Hampshire,2010,1,1316470,54.126896,-23.217234,51.589626,33.716896,,,1,0,1,0
Rhode Island,1916,0,598000,39.042801,8.8178072,,,46.243122,52.167862,,,0,1
Rhode Island,1922,0,644000,32.778706,8.7853756,46.243122,52.936085,41.798248,49.298695,0,1,1,0
Rhode Island,1924,0,669000,32.778706,-15.835348,52.167862,46.243122,49.298695,49.168472,1,0,0,0
Rhode Island,1928,0,678000,36.459084,-1.2698561,41.798248,52.167862,49.168472,57.12244,0,1,0,0
Rhode Island,1930,0,686000,50.15852,-1.1273801,49.298695,41.798248,57.12244,48.611946,0,0,1,0
Rhode Island,1934,0,675000,55.079086,14.272488,49.168472,49.298695,48.611946,55.161678,0,0,1,1
Rhode Island,1936,0,686000,55.079086,4.231307,57.12244,49.168472,55.161678,57.967918,1,0,0,1
Rhode Island,1940,0,719000,52.96476,10.32336,48.611946,57.12244,57.967918,55.112457,1,1,0,1
Rhode Island,1942,0,748000,56.728363,15.935842,55.161678,48.611946,55.112457,59.287369,1,1,1,1
Rhode Island,1948,0,787000,58.593403,18.574738,55.112457,57.967918,54.778599,59.289581,1,1,0,1
Rhode Island,1952,0,802000,57.593788,9.5572023,59.287369,55.112457,59.289581,64.485847,1,1,0,1
Rhode Island,1954,0,816000,49.045593,18.579161,54.778599,59.287369,64.485847,68.896683,1,1,1,0
Rhode Island,1958,0,858000,41.740517,28.971695,59.289581,54.778599,68.896683,82.730728,1,1,1,0
Rhode Island,1960,1,859000,41.740517,37.793358,64.485847,59.289581,82.730728,67.659462,1,1,0,0
Rhode Island,1964,0,885000,63.627708,65.461456,68.896683,64.485847,67.659462,67.542244,1,1,0,1
Rhode Island,1966,0,899000,80.871773,35.318924,82.730728,68.896683,67.542244,53.682961,1,1,1,1
Rhode Island,1970,0,949723,64.040962,36.081493,67.659462,82.730728,53.682961,42.031204,1,1,1,0
Rhode Island,1972,0,974790,64.040962,7.9703751,67.542244,67.659462,42.031204,75.112396,1,1,0,0
Rhode Island,1976,1,946089,46.817009,-15.708965,53.682961,67.542244,75.112396,48.802139,1,1,0,0
Rhode Island,1978,0,951816,55.442005,50.224792,42.031204,53.682961,48.802139,72.552574,0,1,1,1
Rhode Island,1982,0,954170,47.682148,-2.3957224,75.112396,42.031204,72.552574,45.407425,1,0,1,0
Rhode Island,1984,0,961894,47.682148,45.105145,48.802139,75.112396,45.407425,61.833199,0,1,0,0
Rhode Island,1988,0,996408,48.017365,-9.1851559,72.552574,48.802139,61.833199,35.476624,1,0,0,0
Rhode Island,1990,0,1004649,55.645145,23.666397,45.407425,72.552574,35.476624,63.482224,0,1,1,0
Rhode Island,1996,1,987858,47.036343,28.430447,35.476624,61.833199,41.145206,78.392281,0,1,0,0
Rhode Island,2000,0,1048259,59.712929,-15.731323,63.482224,35.476624,78.392281,53.472424,1,0,0,0
Rhode Island,2002,0,1065995,60.997391,56.818211,41.145206,63.482224,53.472424,73.404488,0,1,1,0
Rhode Island,2006,0,1063096,59.423428,7.0330591,78.392281,41.145206,73.404488,,1,0,1,0
Rhode Island,2008,0,1055003,59.423428,46.808971,53.472424,78.392281,,,1,1,0,0
Vermont,1914,0,362000,24.441118,-56.035404,,,23.442741,21.933214,,,1,1
Vermont,1916,0,360000,24.441118,-50.794697,0,,21.933214,32.066189,0,,0,1
Vermont,1922,1,354000,23.29088,-35.867622,21.933214,23.442741,26.52047,28.445885,0,0,1,0
Vermont,1926,0,356000,15.671714,-46.886055,32.066189,21.933214,28.445885,44.849586,0,0,1,0
Vermont,1934,0,357000,41.076069,-2.671185,44.849586,28.445885,34.325047,33.550587,0,0,1,1
Vermont,1944,0,314000,44.923878,-31.60944,33.550587,34.325047,25.353149,21.989212,0,0,0,1
Vermont,1946,1,342000,42.962311,-49.270519,34.187977,33.550587,21.989212,27.672476,0,0,1,1
Vermont,1950,0,378000,36.923836,-55.999149,25.353149,34.187977,27.672476,33.604439,0,0,1,1
Vermont,1952,0,375000,36.923836,-44.644665,21.989212,25.353149,33.604439,47.842369,0,0,0,1
Vermont,1956,0,377000,28.207632,-32.788544,27.672476,21.989212,47.842369,33.066116,0,0,0,0
Vermont,1958,1,380000,27.809557,-4.3104439,33.604439,27.672476,33.066116,46.52084,0,0,1,0
Vermont,1962,0,393000,41.348522,-33.867764,47.842369,33.604439,46.52084,0,0,0,1,1
Vermont,1964,0,399000,41.348522,-6.9498005,33.066116,47.842369,0,40.201035,0,0,0,1
Vermont,1968,0,430000,66.299385,-99.859573,46.52084,33.066116,40.201035,49.469784,0,0,0,1
Vermont,1974,1,473002,36.587185,3.0860395,40.201035,0,45.343029,49.759048,0,0,1,0
Vermont,1976,0,484928,36.587185,-4.6564398,49.469784,40.201035,49.759048,47.225346,1,0,0,0
Vermont,1980,1,511456,42.866005,1.1684269,45.343029,49.469784,47.225346,63.156635,0,1,0,1
Vermont,1982,0,519109,38.409153,-3.0416102,49.759048,45.343029,63.156635,29.764982,1,0,1,0
Vermont,1986,0,534066,40.638809,28.659454,47.225346,49.759048,29.764982,54.162014,0,1,1,0
Vermont,1988,1,549763,40.638809,-38.204834,63.156635,47.225346,54.162014,40.566536,1,0,0,0
Vermont,1992,0,570115,47.578831,10.816863,29.764982,63.156635,40.566536,72.215424,0,1,0,0
Vermont,1994,0,578900,46.11375,-9.7495165,54.162014,29.764982,72.215424,25.425303,1,0,1,0
Vermont,1998,0,590579,53.354435,49.765457,40.566536,54.162014,25.425303,70.627068,0,1,1,0
Vermont,2004,0,619920,50.634712,46.084087,25.425303,72.215424,0,64.326164,0,1,0,0
Vermont,2006,1,622892,58.937462,-67.638016,70.627068,25.425303,64.326164,,1,0,1,0
Vermont,2010,0,625741,67.455688,33.413837,0,70.627068,,,0,1,1,0
Delaware,1918,0,220000,47.776489,-3.3434777,49.66608,,49.811058,40.628941,1,,1,1
Delaware,1922,0,214000,42.071808,.43396354,47.82888,49.66608,40.628941,39.050053,0,1,1,0
Delaware,1928,0,233000,36.800869,-21.8999,40.628941,49.811058,45.357975,46.155941,0,1,0,0
Delaware,1930,0,239000,33.798912,-9.1305103,39.050053,40.628941,46.155941,52.976036,0,0,1,0
Delaware,1934,0,250000,48.112061,-7.1173549,45.357975,39.050053,52.976036,50.633533,0,0,1,1
Delaware,1936,0,253000,48.112061,11.580616,46.155941,45.357975,50.633533,44.921928,0,0,0,1
Delaware,1940,0,269000,54.624111,3.3326178,52.976036,46.155941,44.921928,44.849487,1,0,0,1
Delaware,1942,1,279000,54.717022,-9.2464981,50.633533,52.976036,44.849487,50.853836,1,1,1,1
Delaware,1946,0,299000,54.375763,-10.301021,44.921928,50.633533,50.853836,45.508335,0,1,1,1
Delaware,1948,0,312000,54.375763,2.5763631,44.849487,44.921928,45.508335,56.943409,0,0,0,1
Delaware,1952,0,341000,48.760723,-8.9833345,50.853836,44.849487,56.943409,46.720886,1,0,0,1
Delaware,1954,0,368000,47.875305,13.886822,45.508335,50.853836,46.720886,49.286022,0,1,1,0
Delaware,1958,0,433000,44.621548,-6.5582275,56.943409,45.508335,49.286022,48.255383,1,0,1,0
Delaware,1960,0,446000,44.621548,-1.4279574,46.720886,56.943409,48.255383,40.881657,0,1,0,0
Delaware,1966,0,516000,60.94973,-18.236685,48.255383,49.286022,40.101833,50.47514,0,0,1,1
Delaware,1970,1,548104,41.608082,-18.730911,40.881657,48.255383,50.47514,43.607327,0,0,1,0
Delaware,1972,0,572913,41.608082,1.3758123,40.101833,40.881657,43.607327,57.955723,0,0,0,0
Delaware,1976,0,590166,39.183323,-12.206313,50.47514,40.101833,57.955723,44.204544,1,0,0,0
Delaware,1978,0,594776,51.984024,16.937536,43.607327,50.47514,44.204544,60.110519,0,1,1,1
Delaware,1982,0,599148,44.874146,-10.967743,57.955723,43.607327,60.110519,37.938667,1,0,1,0
Delaware,1984,0,611565,44.874146,20.221039,44.204544,57.955723,37.938667,62.679291,0,1,0,0
Delaware,1988,0,647622,39.932121,-24.122667,60.110519,44.204544,62.679291,42.483253,1,0,0,0
Delaware,1990,0,669063,43.477757,26.846214,37.938667,60.110519,42.483253,60.040058,0,1,1,0
Delaware,1994,0,708416,43.506653,-13.331726,62.679291,37.938667,60.040058,55.521881,1,0,1,0
Delaware,1996,0,727090,43.506653,21.908188,42.483253,62.679291,55.521881,58.21991,0,1,0,0
Delaware,2000,0,783559,51.775467,11.826599,60.040058,42.483253,58.21991,67.126198,1,0,0,0
Delaware,2002,0,806169,54.962124,17.416084,55.521881,60.040058,67.126198,64.686516,1,1,1,0
Delaware,2006,0,859268,53.346836,39.68256,58.21991,55.521881,64.686516,,1,1,1,0
New Jersey,1916,0,2918000,41.192814,-17.089155,,,43.233841,54.871403,,,0,1
New Jersey,1918,1,3043000,42.678009,-7.1086702,38.897404,,54.871403,33.669895,0,,1,1
New Jersey,1922,0,3380000,28.420383,10.824492,43.233841,38.897404,33.669895,41.840485,0,0,1,0
New Jersey,1928,0,3968000,27.41449,-16.02672,33.669895,54.871403,39,57.902302,0,1,0,0
New Jersey,1936,0,4084000,49.487202,10.562929,57.902302,39,44.110931,45.809372,1,0,0,1
New Jersey,1942,0,4297000,51.483959,-7.2826834,44.110931,54.898399,40.116737,47.297852,0,1,1,1
New Jersey,1946,0,4492000,50.305206,-18.384892,45.809372,44.110931,47.297852,43.618889,0,0,1,1
New Jersey,1948,1,4774000,50.305206,-2.69033,40.116737,45.809372,43.618889,48.46825,0,0,0,1
New Jersey,1952,0,5125000,45.931252,-11.888152,47.297852,40.116737,48.46825,51.390903,0,0,0,1
New Jersey,1954,1,5360000,42.00452,-.19033551,43.618889,47.297852,51.390903,43.21114,0,0,1,0
New Jersey,1958,1,5890000,34.228268,4.4938984,48.46825,43.618889,43.21114,61.910629,0,0,1,0
New Jersey,1960,0,6067000,34.228268,-12.476641,51.390903,48.46825,61.910629,36.984344,1,0,0,0
New Jersey,1964,0,6660000,49.958874,24.588171,43.21114,51.390903,36.984344,54.015743,0,1,0,1
New Jersey,1966,0,6851000,65.606674,-23.035845,61.910629,43.21114,54.015743,34.513077,1,0,1,1
New Jersey,1970,0,7171112,43.966339,11.859733,36.984344,61.910629,34.513077,60.660534,0,1,1,0
New Jersey,1972,0,7335042,43.966339,-27.94796,54.015743,36.984344,60.660534,55.3232,1,0,0,0
New Jersey,1976,0,7339745,36.774334,22.610748,34.513077,54.015743,55.3232,50.937878,0,1,0,0
New Jersey,1978,1,7350804,47.923912,12.197095,60.660534,34.513077,50.937878,64.158638,1,0,1,1
New Jersey,1984,0,7515473,38.557991,29.276825,50.937878,55.3232,53.550903,50.442772,1,1,0,0
New Jersey,1988,0,7712333,39.197548,8.3667545,64.158638,50.937878,50.442772,50.294102,1,1,0,0
New Jersey,1990,0,7757158,42.598145,3.0403585,53.550903,64.158638,50.294102,52.67934,1,1,1,0
New Jersey,1994,0,7918796,42.95396,3.2723427,50.442772,53.550903,52.67934,50.112946,1,1,1,0
New Jersey,1996,1,8009624,42.95396,10.107502,50.294102,50.442772,50.112946,53.876305,1,1,0,0
New Jersey,2002,1,8552643,56.12561,9.9286947,50.112946,52.67934,53.369141,56.030117,1,1,1,0
New Jersey,2006,0,8661679,52.923412,9.0249653,53.876305,50.112946,56.030117,,1,1,1,0
New Jersey,2008,0,8711090,52.923412,14.076117,53.369141,53.876305,,,1,1,0,0
New York,1914,1,9585000,41.274746,-4.9822421,,,39.214169,32.902725,,,1,1
New York,1916,1,9848000,41.274746,-15.103719,42.05677,,32.902725,52.598042,0,,0,1
New York,1920,0,282000,44.507046,-19.460436,39.214169,42.05677,52.598042,46.48407,0,0,0,1
New York,1922,0,589000,26.953062,11.587196,32.902725,39.214169,46.48407,49.076385,0,0,1,0
New York,1926,0,1257000,29.130325,4.0880737,52.598042,32.902725,49.076385,55.773907,1,0,1,0
New York,1928,0,1599000,29.130325,1.1834025,46.48407,52.598042,55.773907,55.340122,1,1,0,0
New York,1932,0,3001000,47.43623,17.213249,49.076385,46.48407,55.340122,54.483898,1,1,0,0
New York,1938,0,3512000,58.845383,9.5659704,55.340122,55.773907,53.260578,53.05859,1,1,1,1
New York,1940,0,3456000,58.845383,6.601757,54.483898,55.340122,53.05859,47.419064,1,1,0,1
New York,1946,1,3398000,52.308815,-5.1618724,53.05859,53.260578,50.346405,36.126682,1,1,1,1
New York,1950,0,14830000,45.007446,5.0677032,47.419064,53.05859,36.126682,46.71793,0,1,1,1
New York,1952,0,15192000,45.007446,-19.085226,50.346405,47.419064,46.71793,48.37487,1,0,0,1
New York,1956,1,16112000,43.553535,-6.5641403,36.126682,50.346405,48.37487,40.141609,0,1,0,0
New York,1958,1,16601000,38.791801,-2.3740144,46.71793,36.126682,40.141609,53.467186,0,0,1,0
New York,1962,0,17301000,52.532959,-17.237839,48.37487,46.71793,53.467186,32.677452,0,0,1,1
New York,1968,0,18051000,68.559364,-17.003149,53.467186,40.141609,36.770977,38.224899,1,0,0,1
New York,1970,1,18241391,49.756069,-2.1644979,32.677452,53.467186,38.224899,54.157066,0,1,1,0
New York,1974,0,18049775,40.296249,-7.0959625,36.770977,32.677452,54.157066,43.536133,0,0,1,0
New York,1976,0,17940541,40.296249,9.2718925,38.224899,36.770977,43.536133,65.066017,0,0,0,0
New York,1980,1,17558072,51.874344,-1.3465047,54.157066,38.224899,65.066017,38.42297,1,0,0,1
New York,1982,0,17589738,43.921284,30.908585,43.536133,54.157066,38.42297,67.019737,0,1,1,0
New York,1986,0,17833419,45.830708,-14.604274,65.066017,43.536133,67.019737,47.782677,1,0,1,0
New York,1988,0,17941309,45.830708,35.968746,38.42297,65.066017,47.782677,55.19836,0,1,0,0
New York,1992,0,18082032,51.619576,-1.2509078,67.019737,38.42297,55.19836,54.617245,1,0,0,0
New York,1994,0,18156652,49.725525,13.72863,47.782677,67.019737,54.617245,55.27137,0,1,1,0
New York,1998,0,18159175,59.469604,10.535163,55.19836,47.782677,55.27137,71.160866,1,0,1,0
New York,2000,1,18977026,59.469604,12.26548,54.617245,55.19836,71.160866,67.00206,1,1,0,0
New York,2004,0,19171567,60.212509,46.916508,55.27137,54.617245,67.00206,66.304443,1,1,0,0
New York,2010,0,19378102,62.884289,34.098904,67.00206,71.160866,,,1,1,1,0
Pennsylvania,1914,0,8276000,32.489552,-22.79015,,,37.246834,27.188438,,,1,1
Pennsylvania,1922,0,8982000,27.196285,-26.445475,27.188438,37.246834,43.11031,33.997341,0,0,1,0
Pennsylvania,1928,0,9802000,19.079048,-30.380932,43.11031,29.59046,43.177044,50.777035,0,0,0,0
Pennsylvania,1932,0,9764000,33.885036,-6.284791,33.997341,43.11031,50.777035,44.415611,0,0,0,0
Pennsylvania,1934,0,9795000,45.325912,4.3206005,43.177044,33.997341,44.415611,51.788078,0,0,1,1
Pennsylvania,1938,0,9952000,56.881077,-10.287446,50.777035,43.177044,51.788078,49.98764,1,0,1,1
Pennsylvania,1940,0,9896000,56.881077,4.4251947,44.415611,50.777035,49.98764,39.814377,0,1,0,1
Pennsylvania,1944,0,9214000,53.22842,.63778758,51.788078,44.415611,39.814377,47.738712,1,0,0,1
Pennsylvania,1946,0,9866000,51.135319,-19.442045,49.98764,51.788078,47.738712,47.979218,1,1,1,1
Pennsylvania,1950,0,10498000,46.914665,-3.5597861,39.814377,49.98764,47.979218,50.081764,0,1,1,1
Pennsylvania,1952,0,10503000,46.914665,-3.5950601,47.738712,39.814377,50.081764,48.383148,0,0,0,1
Pennsylvania,1956,0,10972000,46.851856,.39669573,47.979218,47.738712,48.383148,51.064121,0,0,0,0
